id,username,email,country,plan,created_at
1,user_mobile_1,user_mobile_1@example-mobile-net.com,AU,premium_yearly,2026-05-12 16:00:51
2,user_mobile_2,user_mobile_2@example-mobile-net.com,FR,premium_yearly,2026-04-19 16:00:51
3,user_mobile_3,user_mobile_3@example-mobile-net.com,IN,free,2026-04-14 16:00:51
4,user_mobile_4,user_mobile_4@example-mobile-net.com,US,premium_yearly,2026-05-03 16:00:51
5,user_mobile_5,user_mobile_5@example-mobile-net.com,BR,premium_monthly,2026-04-18 16:00:51
6,user_mobile_6,user_mobile_6@example-mobile-net.com,KR,free,2026-04-24 16:00:51
7,user_mobile_7,user_mobile_7@example-mobile-net.com,CA,free,2026-05-16 16:00:51
8,user_mobile_8,user_mobile_8@example-mobile-net.com,IN,premium_monthly,2026-05-27 16:00:51
9,user_mobile_9,user_mobile_9@example-mobile-net.com,CA,free,2026-05-27 16:00:51
10,user_mobile_10,user_mobile_10@example-mobile-net.com,DE,premium_monthly,2026-05-29 16:00:51
11,user_mobile_11,user_mobile_11@example-mobile-net.com,GB,free,2026-04-16 16:00:51
12,user_mobile_12,user_mobile_12@example-mobile-net.com,GB,premium_yearly,2026-04-30 16:00:51
13,user_mobile_13,user_mobile_13@example-mobile-net.com,DE,free,2026-04-21 16:00:51
14,user_mobile_14,user_mobile_14@example-mobile-net.com,JP,premium_yearly,2026-05-23 16:00:51
15,user_mobile_15,user_mobile_15@example-mobile-net.com,FR,free,2026-05-08 16:00:51
16,user_mobile_16,user_mobile_16@example-mobile-net.com,BR,premium_yearly,2026-05-09 16:00:51
17,user_mobile_17,user_mobile_17@example-mobile-net.com,DE,free,2026-05-06 16:00:51
18,user_mobile_18,user_mobile_18@example-mobile-net.com,BR,free,2026-04-13 16:00:51
19,user_mobile_19,user_mobile_19@example-mobile-net.com,GB,free,2026-05-15 16:00:51
20,user_mobile_20,user_mobile_20@example-mobile-net.com,CA,free,2026-04-21 16:00:51
21,user_mobile_21,user_mobile_21@example-mobile-net.com,US,free,2026-05-13 16:00:51
22,user_mobile_22,user_mobile_22@example-mobile-net.com,KR,free,2026-04-16 16:00:51
23,user_mobile_23,user_mobile_23@example-mobile-net.com,FR,free,2026-04-22 16:00:51
24,user_mobile_24,user_mobile_24@example-mobile-net.com,FR,free,2026-05-03 16:00:51
25,user_mobile_25,user_mobile_25@example-mobile-net.com,BR,premium_yearly,2026-05-30 16:00:51
26,user_mobile_26,user_mobile_26@example-mobile-net.com,FR,premium_monthly,2026-05-30 16:00:51
27,user_mobile_27,user_mobile_27@example-mobile-net.com,US,premium_monthly,2026-05-03 16:00:51
28,user_mobile_28,user_mobile_28@example-mobile-net.com,FR,free,2026-05-04 16:00:51
29,user_mobile_29,user_mobile_29@example-mobile-net.com,IN,free,2026-05-05 16:00:51
30,user_mobile_30,user_mobile_30@example-mobile-net.com,AU,premium_yearly,2026-05-18 16:00:51
31,user_mobile_31,user_mobile_31@example-mobile-net.com,DE,free,2026-04-25 16:00:51
32,user_mobile_32,user_mobile_32@example-mobile-net.com,JP,premium_monthly,2026-05-25 16:00:51
33,user_mobile_33,user_mobile_33@example-mobile-net.com,DE,premium_monthly,2026-06-01 16:00:51
34,user_mobile_34,user_mobile_34@example-mobile-net.com,IN,free,2026-04-14 16:00:51
35,user_mobile_35,user_mobile_35@example-mobile-net.com,DE,free,2026-05-13 16:00:51
36,user_mobile_36,user_mobile_36@example-mobile-net.com,IN,premium_monthly,2026-05-01 16:00:51
37,user_mobile_37,user_mobile_37@example-mobile-net.com,CA,free,2026-05-25 16:00:51
