address_id,customer_id,address_type,street_address,city,postal_code,country_id
1,1,SHIPPING,267 Shipping Way,Chicago,82436,JP
2,1,BILLING,581 Billing Ave,Chicago,64493,CA
3,2,SHIPPING,148 Shipping Way,New York,25723,US
4,2,BILLING,214 Billing Ave,Los Angeles,25709,US
5,3,SHIPPING,310 Shipping Way,London,84606,US
6,3,BILLING,857 Billing Ave,London,86460,CA
7,4,SHIPPING,865 Shipping Way,London,28904,US
8,4,BILLING,269 Billing Ave,Toronto,13196,CA
9,5,SHIPPING,999 Shipping Way,London,18584,UK
10,5,BILLING,794 Billing Ave,Los Angeles,54417,CA
11,6,SHIPPING,692 Shipping Way,London,25757,US
12,6,BILLING,286 Billing Ave,Phoenix,76715,US
13,7,SHIPPING,26 Shipping Way,Toronto,56856,JP
14,7,BILLING,132 Billing Ave,Los Angeles,63138,DE
15,8,SHIPPING,893 Shipping Way,London,51124,US
16,8,BILLING,923 Billing Ave,Paris,32876,CA
17,9,SHIPPING,182 Shipping Way,Tokyo,16616,DE
18,9,BILLING,361 Billing Ave,Phoenix,71801,JP
19,10,SHIPPING,172 Shipping Way,Tokyo,67861,CA
20,10,BILLING,544 Billing Ave,London,20229,JP
21,11,SHIPPING,269 Shipping Way,Berlin,32367,UK
22,11,BILLING,625 Billing Ave,Chicago,53703,UK
23,12,SHIPPING,883 Shipping Way,Paris,85360,JP
24,12,BILLING,833 Billing Ave,New York,74365,US
25,13,SHIPPING,868 Shipping Way,New York,55239,US
26,13,BILLING,235 Billing Ave,London,73851,JP
27,14,SHIPPING,70 Shipping Way,Chicago,12348,CA
28,14,BILLING,725 Billing Ave,Chicago,24424,CA
29,15,SHIPPING,781 Shipping Way,New York,44490,DE
30,15,BILLING,59 Billing Ave,Chicago,35700,US
31,16,SHIPPING,959 Shipping Way,Toronto,45115,US
32,16,BILLING,135 Billing Ave,New York,34587,CA
33,17,SHIPPING,98 Shipping Way,New York,55096,CA
34,17,BILLING,430 Billing Ave,Berlin,93640,DE
35,18,SHIPPING,36 Shipping Way,New York,53033,CA
36,18,BILLING,755 Billing Ave,Phoenix,67656,JP
37,19,SHIPPING,561 Shipping Way,Toronto,96277,JP
38,19,BILLING,726 Billing Ave,Chicago,29023,CA
39,20,SHIPPING,477 Shipping Way,Tokyo,77892,US
40,20,BILLING,194 Billing Ave,New York,42492,CA
41,21,SHIPPING,112 Shipping Way,Paris,18081,JP
42,21,BILLING,310 Billing Ave,Phoenix,99657,JP
43,22,SHIPPING,199 Shipping Way,Phoenix,28092,DE
44,22,BILLING,875 Billing Ave,Berlin,66682,UK
45,23,SHIPPING,808 Shipping Way,Berlin,84539,UK
46,23,BILLING,69 Billing Ave,Los Angeles,72919,US
47,24,SHIPPING,555 Shipping Way,Berlin,90437,JP
48,24,BILLING,439 Billing Ave,London,79504,JP
49,25,SHIPPING,480 Shipping Way,Chicago,10226,US
50,25,BILLING,588 Billing Ave,Berlin,59060,JP
51,26,SHIPPING,409 Shipping Way,Toronto,54464,JP
52,26,BILLING,370 Billing Ave,Tokyo,77819,UK
53,27,SHIPPING,872 Shipping Way,Chicago,10813,JP
54,27,BILLING,514 Billing Ave,Chicago,75456,JP
55,28,SHIPPING,74 Shipping Way,New York,13613,CA
56,28,BILLING,35 Billing Ave,Berlin,89458,US
57,29,SHIPPING,235 Shipping Way,Houston,77634,US
58,29,BILLING,473 Billing Ave,Tokyo,36227,DE
