employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
1,William,Taylor,william.taylor1@company.com,555-709-8789,2025-12-27,CEO,496475.59,,,2
2,Jessica,Martin,jessica.martin2@company.com,555-444-6234,2021-07-23,CEO,212323.5,,1,2
3,Thomas,Garcia,thomas.garcia3@company.com,555-843-2006,2024-09-26,SUP,62029.88,,1,2
4,James,Thomas,james.thomas4@company.com,555-387-5622,2024-11-09,REP,47948.78,0.1,2,4
5,Elizabeth,Rodriguez,elizabeth.rodriguez5@company.com,555-509-1609,2025-10-30,FIN,89633.65,,1,2
6,Karen,Smith,karen.smith6@company.com,555-345-6221,2025-03-24,FIN,94552.05,,3,2
7,Sarah,Jackson,sarah.jackson7@company.com,555-313-5610,2022-05-21,REP,62773.6,0.2,6,2
8,Barbara,Rodriguez,barbara.rodriguez8@company.com,555-672-5961,2021-06-28,MGR,138881.33,,3,1
9,Thomas,Moore,thomas.moore9@company.com,555-965-4205,2022-01-21,ENG,156763.14,,4,6
10,Jennifer,Hernandez,jennifer.hernandez10@company.com,555-170-5451,2024-12-11,CEO,210234.12,,8,5
11,Michael,Miller,michael.miller11@company.com,555-531-5735,2025-01-07,HR,75554.04,,7,3
12,Michael,Rodriguez,michael.rodriguez12@company.com,555-615-1048,2023-08-06,FIN,86947.3,,1,1
13,Richard,Jones,richard.jones13@company.com,555-179-4370,2025-07-18,CEO,484555.72,,11,3
14,Robert,Wilson,robert.wilson14@company.com,555-214-7003,2021-04-08,SUP,57577.15,,1,6
15,Thomas,Brown,thomas.brown15@company.com,555-285-8539,2023-12-25,FIN,76175.67,,6,1
16,Mary,Jackson,mary.jackson16@company.com,555-642-9785,2021-08-25,ENG,84629.93,,9,5
17,Michael,Martinez,michael.martinez17@company.com,555-455-4869,2025-11-15,SUP,59201.99,,13,4
18,John,Lopez,john.lopez18@company.com,555-292-9614,2023-10-08,HR,56005.58,,15,6
19,Linda,Moore,linda.moore19@company.com,555-603-6630,2024-12-04,REP,75447.71,0.05,10,1
20,William,Miller,william.miller20@company.com,555-272-5946,2022-01-11,HR,45619.76,,17,2
21,Linda,Lopez,linda.lopez21@company.com,555-286-8949,2023-01-07,ENG,139041.2,,16,6
22,Jessica,Davis,jessica.davis22@company.com,555-847-5667,2022-04-14,SUP,43070.34,,3,4
23,Karen,Wilson,karen.wilson23@company.com,555-119-5148,2023-08-13,CEO,277801.56,,2,3
24,Linda,Moore,linda.moore24@company.com,555-889-2198,2023-04-19,CEO,162950.05,,22,3
25,James,Martin,james.martin25@company.com,555-401-1011,2023-04-30,CEO,414518.62,,3,6
26,David,Brown,david.brown26@company.com,555-754-7761,2025-07-21,MGR,97163.35,,23,2
27,Barbara,Jackson,barbara.jackson27@company.com,555-815-6839,2021-01-16,SUP,52929.72,,19,1
28,Richard,Williams,richard.williams28@company.com,555-335-7630,2023-02-09,ENG,118281.53,,17,1
29,Elizabeth,Jackson,elizabeth.jackson29@company.com,555-246-8055,2025-03-22,HR,83060.48,,25,6
30,Karen,Rodriguez,karen.rodriguez30@company.com,555-236-3549,2025-10-21,FIN,91398.01,,22,6
31,Patricia,Hernandez,patricia.hernandez31@company.com,555-384-4297,2024-10-15,FIN,80558.45,,17,3
32,Thomas,Martinez,thomas.martinez32@company.com,555-556-7156,2024-09-04,REP,48593.72,0.05,24,2
33,Robert,Martinez,robert.martinez33@company.com,555-844-1279,2023-09-15,HR,45110.24,,21,4
34,Jennifer,Johnson,jennifer.johnson34@company.com,555-220-7666,2023-11-01,SUP,40974.44,,30,5
35,Thomas,Martin,thomas.martin35@company.com,555-143-4611,2022-05-26,MGR,136441.89,,7,1
36,John,Martin,john.martin36@company.com,555-267-3951,2022-12-21,CEO,478557.89,,3,5
37,Charles,Hernandez,charles.hernandez37@company.com,555-490-6108,2022-05-10,ENG,127239.45,,27,6
38,Karen,Moore,karen.moore38@company.com,555-251-9280,2021-06-23,MGR,90862.98,,14,1
39,Jennifer,Garcia,jennifer.garcia39@company.com,555-898-5753,2023-09-21,ENG,151852.89,,35,3
40,Patricia,Martin,patricia.martin40@company.com,555-767-1347,2022-12-18,FIN,94237.44,,4,4
41,Jennifer,Gonzalez,jennifer.gonzalez41@company.com,555-229-5930,2023-10-10,ENG,158761.61,,24,3
42,Charles,Gonzalez,charles.gonzalez42@company.com,555-695-1763,2021-04-04,FIN,66348.33,,23,2
43,Barbara,Wilson,barbara.wilson43@company.com,555-894-5873,2021-11-03,HR,58927.21,,34,4
44,Richard,Lopez,richard.lopez44@company.com,555-104-9441,2021-04-15,REP,80034.89,0.1,13,1
45,William,Brown,william.brown45@company.com,555-362-9950,2023-09-03,ENG,96713.3,,18,4
46,William,Thomas,william.thomas46@company.com,555-570-3636,2024-02-09,FIN,78892.28,,44,5
47,Jennifer,Smith,jennifer.smith47@company.com,555-541-1574,2024-12-12,CEO,196766.82,,11,2
48,Charles,Smith,charles.smith48@company.com,555-968-5815,2025-10-01,MGR,118870.8,,42,3
49,David,Lopez,david.lopez49@company.com,555-238-5667,2022-10-02,MGR,98675.28,,32,2
50,Patricia,Jones,patricia.jones50@company.com,555-474-8937,2021-01-27,REP,68675.66,0.05,9,2
