user_id,employee_id,username,password_hash,role_id,is_active,last_login
1,1,user_william1,19513fdc9da4fb72a4a05eb66917548d3c90ff94d5419e1f2363eea89dfee1dd,3,0,2024-08-01 01:17:02
2,2,user_jessica2,1be0222750aaf3889ab95b5d593ba12e4ff1046474702d6b4779f4b527305b23,2,0,2025-03-05 00:54:13
3,3,user_thomas3,2538f153f36161c45c3c90afaa3f9ccc5b0fa5554c7c582efe67193abb2d5202,3,1,2021-11-14 18:58:29
4,4,user_james4,db514f5b3285acaa1ad28290f5fefc38f2761a1f297b1d24f8129dd64638825d,5,0,2022-08-28 08:19:45
5,5,user_elizabeth5,8180d5783fea9f86479e748f6d2d1196c4a8e143643119398c16367d2c3d50f2,3,1,2024-10-07 04:01:11
6,6,user_karen6,75f9793a7639faa0b83a2707d60cb21c42fe9f50992fc692390a26ac2a21b29e,1,0,2024-11-12 05:58:30
7,7,user_sarah7,5bfdfaaf7e1b1244192a1ede1ea70f09f5642190821c0005669a9afbca2dee2e,1,1,2025-09-14 01:45:46
8,8,user_barbara8,2ced6e7160a9e2cb4be29c200852bfc4fe29d7531ff3ffc51fc1407399d8d8b8,4,1,2022-11-13 01:36:32
9,9,user_thomas9,b949a64fd5484e69191efb60d83f7f79195eeb2911c3eb5850af160841211f18,2,1,2023-01-19 20:57:15
10,10,user_jennifer10,c0a09d876279cea6c57b4453c56737fd1b0c6c95e80b0a08ac48bcc97e719afd,1,1,2024-05-28 13:34:28
11,11,user_michael11,542cbab799aabae8c7b3cd571e6c73395515ebd86044358cc3603d8e965881e0,5,1,2022-11-14 07:12:27
12,12,user_michael12,f3c16dc3ef3ba55671b0ac2938730a4afc3867cf4c01ae9a09cfe4e2367666bd,1,1,2022-02-12 09:34:43
13,13,user_richard13,94160c710f5c02b0deaa4f8f4f296471b19e1152390f31b545d75a3648e3332a,3,1,2024-01-24 23:25:38
14,14,user_robert14,561f1620b13d82f635b00720379773d89bf42945d257b39172941f5b63074dc3,3,1,2024-01-18 23:32:39
15,15,user_thomas15,f16171f1256ff454c66ff516f9e61c69b2454f8065de099dd147452486b91211,3,0,2023-02-20 07:12:10
16,16,user_mary16,9630a358e80519239f62f32ddd4e47f4e798dccc2a70c50841253ee54ead3d56,1,1,2021-03-23 11:20:22
17,17,user_michael17,40c65d8f21b62fceddeaaadf221c5549f4fd230a214b80236584aa5f6b8ab357,4,0,2023-08-17 16:08:18
18,18,user_john18,e6e90dc078b603b8a7f4788a464afea9762108073cfb40871c8861bfec714ed7,5,1,2023-08-14 05:53:44
19,19,user_linda19,e2832f0c57bf6c819cbd084dbb237c498b01909afed4ecba20b00e0a8139d3d1,1,0,2022-04-02 02:19:21
20,20,user_william20,69e44c3b1c786801d098ad5e40b9d347d300712254ea0e95d374620a08372f8f,2,1,2025-03-11 13:32:48
