id,external_user_id,email,locale,created_at
1,usr_3bc952e250_1,user_1@personalization-labs.internal,en-GB,2026-02-22 16:04:33
2,usr_436abe7a7e_2,user_2@personalization-labs.internal,en-US,2026-05-10 16:04:33
3,usr_7a68bb7114_3,user_3@personalization-labs.internal,ja-JP,2026-05-15 16:04:33
4,usr_6d9e822ee1_4,user_4@personalization-labs.internal,en-GB,2026-05-07 16:04:33
5,usr_9bce4afaf7_5,user_5@personalization-labs.internal,en-US,2026-04-13 16:04:33
6,usr_d05f46f8be_6,user_6@personalization-labs.internal,zh-CN,2026-03-10 16:04:33
7,usr_ea791b76dd_7,user_7@personalization-labs.internal,en-GB,2026-05-02 16:04:33
8,usr_49c2324e86_8,user_8@personalization-labs.internal,en-US,2026-03-13 16:04:33
9,usr_1dc701e6d7_9,user_9@personalization-labs.internal,en-GB,2026-03-28 16:04:33
10,usr_cb1b62a90d_10,user_10@personalization-labs.internal,en-US,2026-04-24 16:04:33
11,usr_621c32ce61_11,user_11@personalization-labs.internal,es-ES,2026-03-02 16:04:33
12,usr_64ed74094d_12,user_12@personalization-labs.internal,zh-CN,2026-03-15 16:04:33
13,usr_d4518261b7_13,user_13@personalization-labs.internal,en-GB,2026-03-13 16:04:33
14,usr_0f0b55213d_14,user_14@personalization-labs.internal,fr-FR,2026-02-19 16:04:33
15,usr_da28380436_15,user_15@personalization-labs.internal,en-US,2026-05-02 16:04:33
16,usr_26238473aa_16,user_16@personalization-labs.internal,ja-JP,2026-02-16 16:04:33
17,usr_0a7bf4abdf_17,user_17@personalization-labs.internal,en-US,2026-03-16 16:04:33
18,usr_4fde56623e_18,user_18@personalization-labs.internal,en-US,2026-04-28 16:04:33
19,usr_91b80c235e_19,user_19@personalization-labs.internal,de-DE,2026-04-05 16:04:33
20,usr_c1da011b37_20,user_20@personalization-labs.internal,ja-JP,2026-02-18 16:04:33
21,usr_51260151c4_21,user_21@personalization-labs.internal,en-US,2026-02-22 16:04:33
22,usr_6badfb5983_22,user_22@personalization-labs.internal,ja-JP,2026-05-28 16:04:33
23,usr_53fae7abfd_23,user_23@personalization-labs.internal,de-DE,2026-03-08 16:04:33
24,usr_ebdf313997_24,user_24@personalization-labs.internal,es-ES,2026-02-13 16:04:33
25,usr_3cf77b2ef2_25,user_25@personalization-labs.internal,ja-JP,2026-05-03 16:04:33
26,usr_3a17f30a98_26,user_26@personalization-labs.internal,en-US,2026-05-05 16:04:33
27,usr_cd4568f3a7_27,user_27@personalization-labs.internal,zh-CN,2026-02-23 16:04:33
28,usr_21326833d0_28,user_28@personalization-labs.internal,en-GB,2026-04-17 16:04:33
29,usr_cdfe37bad1_29,user_29@personalization-labs.internal,zh-CN,2026-04-21 16:04:33
30,usr_458059c727_30,user_30@personalization-labs.internal,en-US,2026-04-01 16:04:33
31,usr_fc729038e3_31,user_31@personalization-labs.internal,fr-FR,2026-04-04 16:04:33
32,usr_c05c9aa335_32,user_32@personalization-labs.internal,zh-CN,2026-03-24 16:04:33
33,usr_f340ab7d04_33,user_33@personalization-labs.internal,es-ES,2026-05-12 16:04:33
34,usr_5c7d07b33b_34,user_34@personalization-labs.internal,de-DE,2026-04-29 16:04:33
35,usr_651fbb7698_35,user_35@personalization-labs.internal,de-DE,2026-03-30 16:04:33
36,usr_39af99440c_36,user_36@personalization-labs.internal,de-DE,2026-02-13 16:04:33
37,usr_f36244040b_37,user_37@personalization-labs.internal,zh-CN,2026-02-18 16:04:33
38,usr_cb3a561337_38,user_38@personalization-labs.internal,fr-FR,2026-02-21 16:04:33
39,usr_b3b72e3463_39,user_39@personalization-labs.internal,de-DE,2026-05-14 16:04:33
40,usr_012b354fba_40,user_40@personalization-labs.internal,en-US,2026-03-03 16:04:33
41,usr_3fd71c00c2_41,user_41@personalization-labs.internal,fr-FR,2026-05-17 16:04:33
42,usr_09285e1349_42,user_42@personalization-labs.internal,zh-CN,2026-05-02 16:04:33
43,usr_583c49bc4d_43,user_43@personalization-labs.internal,fr-FR,2026-02-15 16:04:33
44,usr_97bc5fcb27_44,user_44@personalization-labs.internal,en-GB,2026-04-23 16:04:33
45,usr_4e70b1c925_45,user_45@personalization-labs.internal,de-DE,2026-04-02 16:04:33
46,usr_58e3b4a55d_46,user_46@personalization-labs.internal,fr-FR,2026-02-20 16:04:33
