id,email,first_name,last_name,phone,account_manager,created_at
1,robert.jones1@personal-mail.net,Robert,Jones,+1-523-555-3297,,2024-09-10 16:17:10
2,procurement@williams-enterprises.internal,Robert,Williams,+1-824-555-7478,Bob Sterling,2025-04-19 16:17:10
3,michael.davis3@personal-mail.net,Michael,Davis,+1-803-555-1205,,2026-03-20 16:17:10
4,linda.rodriguez4@personal-mail.net,Linda,Rodriguez,+1-503-555-8784,,2025-04-11 16:17:10
5,mary.rodriguez5@personal-mail.net,Mary,Rodriguez,+1-574-555-6780,Alice Vance,2024-09-11 16:17:10
6,james.garcia6@personal-mail.net,James,Garcia,+1-607-555-5932,,2025-02-08 16:17:10
7,michael.jones7@personal-mail.net,Michael,Jones,+1-613-555-1689,,2025-01-01 16:17:10
8,jennifer.rodriguez8@personal-mail.net,Jennifer,Rodriguez,+1-500-555-1837,,2025-10-01 16:17:10
9,james.jones9@personal-mail.net,James,Jones,+1-243-555-1597,,2024-06-19 16:17:10
10,james.miller10@personal-mail.net,James,Miller,+1-700-555-7615,,2026-04-08 16:17:10
11,william.martinez11@personal-mail.net,William,Martinez,+1-948-555-5728,,2025-12-25 16:17:10
12,john.davis12@personal-mail.net,John,Davis,+1-782-555-1362,,2025-02-24 16:17:10
13,linda.johnson13@personal-mail.net,Linda,Johnson,+1-325-555-4143,,2025-06-19 16:17:10
14,mary.brown14@personal-mail.net,Mary,Brown,+1-941-555-2019,Alice Vance,2024-08-17 16:17:10
15,william.brown15@personal-mail.net,William,Brown,+1-933-555-5127,,2025-06-26 16:17:10
16,jennifer.rodriguez16@personal-mail.net,Jennifer,Rodriguez,+1-599-555-8601,,2024-12-24 16:17:10
17,robert.johnson17@personal-mail.net,Robert,Johnson,+1-453-555-9063,Dan Draper,2024-09-29 16:17:10
18,james.martinez18@personal-mail.net,James,Martinez,+1-717-555-1117,,2025-09-18 16:17:10
19,robert.garcia19@personal-mail.net,Robert,Garcia,+1-997-555-5026,,2024-07-28 16:17:10
